Date,Time,Champion,Round,Team A,Team B,Team A Score,Team B Score,Team A Penalty Score,Team B Penalty Score,Winner,Match Status,Match URL
1/1/2025,19:30,الدوري الإنجليزي,الأسبوع التاسع عشر,برينتفورد,أرسنال,1,3,N/A,N/A,أرسنال,Completed,https://www.yallakora.com/epl/2906/tour-hp/%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d9%86%d8%ac%d9%84%d9%8a%d8%b2%d9%8a#MC_MatcheDetails
1/1/2025,17:00,الدوري المصري,الجولة السابعة,مودرن سبورت,الإسماعيلي,0,3,N/A,N/A,الإسماعيلي,Completed,https://www.yallakora.com/egyptian-league/2935/tour-hp/%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%85%d8%b5%d8%b1%d9%8a#MC_MatcheDetails
1/2/2025,14:30,كأس مصر,دور الـ 32,بتروجيت,المقاولون العرب,0,0,3,4,المقاولون العرب,Completed,https://www.yallakora.com/egypt-cup/2956/tour-hp/%d9%83%d8%a3%d8%b3-%d9%85%d8%b5%d8%b1#MC_MatcheDetails
1/3/2025,22:00,الدوري الإسباني,الأسبوع الثاني عشر,فالنسيا,ريال مدريد,1,2,N/A,N/A,ريال مدريد,Completed,https://www.yallakora.com/la-liga/2907/tour-hp/%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d8%b3%d8%a8%d8%a7%d9%86%d9%8a#MC_MatcheDetails
1/3/2025,22:00,الدوري الفرنسي,الأسبوع السادس عشر,نيس,رين,3,2,N/A,N/A,نيس,Completed,https://www.yallakora.com/ligue1/2908/tour-hp/%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%81%d8%b1%d9%86%d8%b3%d9%8a#MC_MatcheDetails
1/3/2025,21:00,الدوري المغربي,الأسبوع السابع عشر,شباب المحمدية,الفتح الرباطي,0,2,N/A,N/A,الفتح الرباطي,Completed,https://www.yallakora.com/morrocan-league/2933/tour-hp/%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%85%d8%ba%d8%b1%d8%a8%d9%8a#MC_MatcheDetails
1/3/2025,21:00,دوري أبطال أفريقيا,الجولة الرابعة,شباب بلوزداد,الأهلي,1,0,N/A,N/A,شباب بلوزداد,Completed,https://www.yallakora.com/african-champions-league/2915/tour-hp/%d8%af%d9%88%d8%b1%d9%8a-%d8%a3%d8%a8%d8%b7%d8%a7%d9%84-%d8%a3%d9%81%d8%b1%d9%8a%d9%82%d9%8a%d8%a7#MC_MatcheDetails
1/3/2025,14:30,كأس مصر,دور الـ 32,فاركو,الترسانة,3,1,4,3,فاركو,Completed,https://www.yallakora.com/egypt-cup/2956/tour-hp/%d9%83%d8%a3%d8%b3-%d9%85%d8%b5%d8%b1#MC_MatcheDetails
1/3/2025,19:00,الدوري التركي,الأسبوع الثامن عشر,ريزه سبور,بشكتاش,1,1,N/A,N/A,تعادل,Completed,https://www.yallakora.com/turkish-super-lig/2930/tour-hp/%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%aa%d8%b1%d9%83%d9%8a#MC_MatcheDetails
1/3/2025,22:15,الدوري البرتغالي,الأسبوع السابع عشر,فيتوريا جيماريش,سبورتينج لشبونة,4,4,N/A,N/A,تعادل,Completed,https://www.yallakora.com/primeira-liga/2929/tour-hp/%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a8%d8%b1%d8%aa%d8%ba%d8%a7%d9%84%d9%8a#MC_MatcheDetails
